title,category,rating,price_gbp,price_incl_tax,stock_quantity,in_stock,upc,price_range,rating_label
A Light in the Attic,Poetry,3,51.77,51.77,22,Yes,a897fe39b1053632,Caro,Regular
Tipping the Velvet,Historical Fiction,1,53.74,53.74,20,Yes,90fa61229261140a,Caro,Péssimo
Soumission,Fiction,1,50.1,50.1,20,Yes,6957f44c3847a760,Caro,Péssimo
Sharp Objects,Mystery,4,47.82,47.82,20,Yes,e00eb4fd7b871a48,Caro,Bom
Sapiens: A Brief History of Humankind,History,5,54.23,54.23,20,Yes,4165285e1663650f,Caro,Excelente
The Requiem Red,Young Adult,1,22.65,22.65,19,Yes,f77dbf2323deb740,Médio,Péssimo
The Dirty Little Secrets of Getting Your Dream Job,Business,4,33.34,33.34,19,Yes,2597b5a345f45e1b,Médio,Bom
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,3,17.93,17.93,19,Yes,e72a5dfc7e9267b2,Barato,Regular
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,4,22.6,22.6,19,Yes,e10e1e165dc8be4a,Médio,Bom
The Black Maria,Poetry,1,52.15,52.15,19,Yes,1dfe412b8ac00530,Caro,Péssimo
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,2,13.99,13.99,19,Yes,0312262ecafa5a40,Barato,Ruim
Shakespeare's Sonnets,Poetry,4,20.66,20.66,19,Yes,30a7f60cd76ca58c,Médio,Bom
Set Me Free,Young Adult,5,17.46,17.46,19,Yes,ce6396b0f23f6ecc,Barato,Excelente
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,52.29,52.29,19,Yes,3b1c02bac2a429e6,Caro,Excelente
Rip it Up and Start Again,Music,5,35.02,35.02,19,Yes,a34ba96d4081e6a4,Médio,Excelente
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,3,57.25,57.25,19,Yes,deda3e61b9514b83,Caro,Regular
Olio,Poetry,1,23.88,23.88,19,Yes,feb7cc7701ecf901,Médio,Péssimo
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,1,37.59,37.59,19,Yes,e30f54cea9b38190,Médio,Péssimo
Libertarianism for Beginners,Politics,2,51.33,51.33,19,Yes,a18a4f574854aced,Caro,Ruim
It's Only the Himalayas,Travel,2,45.17,45.17,19,Yes,a22124811bfa8350,Caro,Ruim
In Her Wake,Thriller,1,12.84,12.84,19,Yes,23356462d1320d61,Barato,Péssimo
How Music Works,Music,2,37.32,37.32,19,Yes,327f68a59745c102,Médio,Ruim
